"Course Enrollments by Course
2016-17, Survey 3 - Preliminary
State Level",,
1300820,"IB MUSIC 3",119
1300840,"IB MYP MUSIC 1",28
1300850,"IB MYP MUSIC 2",18
1301030,"M/J KEYBD 1",3100
1301040,"M/J KEYBD 2",705
1301050,"M/J KEYBD 3",274
1301060,"M/J GUITAR 1",4162
1301070,"M/J GUITAR 2",1214
1301080,"M/J GUITAR 3",371
1301090,"M/J EXPL MUSIC 1",14602
1301100,"M/J EXPL MUSIC 2",1086
1301110,"M/J EXPL MUSIC 3",377
1301320,"GUITAR 1",7928
1301330,"GUITAR 2",1684
1301340,"GUITAR 3",581
1301350,"GUITAR 4 HONORS",285
1301360,"KEYBD 1",7413
1301370,"KEYBD 2",1210
1301380,"KEYBD 3",292
1301390,"KEYBD 4 HONORS",147
1302000,"M/J BAND 1",37779
1302010,"M/J BAND 2",19809
1302020,"M/J BAND 3",16663
1302030,"M/J BAND 4",2558
1302040,"M/J ORCH 1",7427
1302050,"M/J ORCH 2",5193
1302060,"M/J ORCH 3",3825
1302070,"M/J ORCH 4",210
1302080,"M/J INSTRU TECNQS 1",1745
1302090,"M/J INSTRU TECNQS 2",595
1302100,"M/J INSTRU TECNQS 3",490
1302110,"M/J INSTRU ENS 1",2680
1302120,"M/J INSTRU ENS 2",1199
1302130,"M/J INSTRU ENS 3",657
1302140,"M/J BAND 2&CAR PLAN",457
1302142,"M/J BAND 3&CAR PLAN",559
1302150,"M/J ORCH 2&CAR PLAN",75
1302160,"M/J ORCH 3 & CAR PL",64
1302300,"BAND 1",11811
1302310,"BAND 2",7640
1302320,"BAND 3",6113
1302330,"BAND 4",4271
1302340,"BAND 5 HON",3164
1302350,"BAND 6 HON",2023
1302355,"MARCHING BAND",263
1302360,"ORCH 1",2608
1302370,"ORCH 2",1950
1302380,"ORCH 3",1844
1302390,"ORCH 4",1343
1302400,"ORCH 5 HON",974
1302410,"ORCH 6 HON",586
1302420,"INSTRU TECNQS 1",2237
1302430,"INSTRU TECNQS 2",915
1302440,"INSTRU TECNQS 3",571
1302450,"INSTRU TECNQS 4 HON",681
1302460,"INSTRU ENS 1",1618
1302470,"INSTRU ENS 2",844
1302480,"INSTRU ENS 3",651
1302490,"INSTRU ENS 4 HON",603
1302500,"JAZZ ENS 1",2802
1302510,"JAZZ ENS 2",1711
1302520,"JAZZ ENS 3",1135
1302530,"JAZZ ENS 4 HON",1086
1302540,"CHAMB ORCH",7
1303000,"M/J CHORUS 1",21817
1303010,"M/J CHORUS 2",11195
1303020,"M/J CHORUS 3",6545
1303030,"M/J CHORUS 4",895
1303070,"M/J VOCAL TECNQS 1",458
1303080,"M/J VOCAL TECNQS 2",131
1303090,"M/J VOCAL TECNQS 3",30
1303100,"M/J VOCAL ENS 1",1320
1303110,"M/J VOCAL ENS 2",381
1303120,"M/J VOCAL ENS 3",248
1303130,"M/J CHORUS 2&CAR PLA",91
1303140,"M/J CHORUS 3&CAR PL",139
1303150,"M/J MUSIC TECH",802
1303200,"M/J MUSIC ENS 1",439
1303210,"M/J MUSIC ENS 2",148
1303220,"M/J MUSIC ENS 3",173
1303230,"M/J MUSIC TECNQS 1",426
1303240,"M/J MUSIC TECNQS 2",79
1303250,"M/J MUSIC TECNQS 3",50
1303300,"CHORUS 1",12106
1303310,"CHORUS 2",5966
1303320,"CHORUS 3",4011
1303330,"CHORUS 4",2283
1303340,"CHORUS 5 HON",1851
1303350,"CHORUS 6 HON",1106
1303360,"CHORUS REG-SPEC 1",1457
1303370,"CHORUS REG-SPEC 2",566
1303380,"CHORUS REG-SPEC 3",320
1303390,"CHORUS REG-SPEC 4 H",221
1303400,"VOCAL TECNQS 1",745
1303410,"VOCAL TECNQS 2",368
1303420,"VOCAL TECNQS 3",249
1303430,"VOCAL TECNQS 4 HON",311
1303440,"VOCAL ENS 1",1974
1303450,"VOCAL ENS 2",1311
1303460,"VOCAL ENS 3",890
1303470,"VOCAL ENS 4 HON",1032
1304300,"MUS TECH & SO ENG 1",1538
1304310,"MUS TECH & SO ENG 2",304
1304320,"MUS TECH & SO ENG 3H",120
1304330,"MUS TECH ENG 4 HON",58
1305300,"EURHY 1",1976
1305310,"EURHY 2",984
1305320,"EURHY 3",597
1305330,"EURHY 4",327
1305400,"MUSIC ENS 1",619
1305410,"MUSIC ENS 2",159
1305420,"MUSIC ENS 3",130
1305430,"MUSIC ENS 4 HON",253
1305500,"MUSIC TECNQS 1",180
1305510,"MUSIC TECNQS 2",97
1305520,"MUSIC TECNQS 3",72
1305530,"MUSIC TECNQS 4 HON",145
1400000,"M/J PEER COUN 1",11244
1400010,"M/J PEER COUN 2",2136
1400300,"PEER COUN 1",9638
1400310,"PEER COUN 2",7034
1400320,"PEER COUN 3",268
1400330,"PEER COUN 4",3306
1400340,"PEER/PARTNERS LRNG",454
1500000,"M/J ADAP PE IEP/504",617
1500440,"MCHG BAND PE WAIVER",3
1500480,"JROTC/PE/PF WAIVER",9
1501130,"M/J IB MYP COMP PE 1",1406
1501131,"M/J IB MYP COMP PE 2",1603
1501132,"M/J IB MYP COMP PE 3",1423
1501300,"PERS FIT",32575
1501305,"IB MYP PE",491
1501310,"FIT LIFST DESIGN",15004
1501320,"FIT ISSUES FOR ADOL",3303
1501340,"WEIGHT TRAIN 1",11179
1501350,"WEIGHT TRAIN 2",27524
1501360,"WEIGHT TRAIN 3",4824
1501380,"PERS FIT TRAINER",649
1501390,"COMPRE FIT",9568
1501410,"POWER WEIGHT TRAIN 1",5743
1501810,"IB MYP PERS FIT",207
1502300,"GYMNASTICS 1",20
1502310,"GYMNASTICS 2",234
1502400,"PADB RACQB HANDBALL",130
1502410,"INDIV/DUAL SPRTS 1",11032
1502420,"INDIV/DUAL SPRTS 2",11717
1502430,"INDIV/DUAL SPRTS 3",4153
1502460,"SELF DEFENSE",192
1502470,REC,8548
1502480,"OUTDOOR ED",6762
1502490,"CARE/PREV OF ATH INJ",5018
1502500,"SPRTS OFFICIATING",974
1503300,"TRACK & FIELD",1682
1503310,BASKETBALL,7588
1503315,"BASKETBALL 2",5073
1503320,SOCCER,3594
1503330,SOFTBALL,2779
1503350,"TEAM SPRTS 1",21880
1503360,"TEAM SPRTS 2",38066
1503400,"AEROBICS 1",2904
1503410,"AEROBICS 2",4225
1503420,"AEROBICS 3",176
1504400,"GOLF 1",77
1504410,"GOLF 2",110
1504460,"SWIMMING 1",257
1504470,"SWIMMING 2",220
1504490,"WATER SAFETY",151
1504500,"TENNIS 1",928
1504510,"TENNIS 2",1166
1504520,"TENNIS 3",41
1505430,"RACQUETBALL 1",290
1505440,"RACQUETBALL 2",190
1505500,"VOLLEYBALL 1",3914
1505510,"VOLLEYBALL 2",5464
1505520,"VOLLEYBALL 3",415
1505550,"WRESTLING 1",51
1505560,"WRESTLING 2",349
1506320,"HOPE-PE V",36338
1508000,"M/J FITNESS GRADE 6",55330
1508100,"M/J EDUC GYM/DNC 6",5784
1508200,"M/J TEAM SPORTS GRD7",41567
1508300,"M/J OUTDR PRSTS GRD7",4054
1508400,"M/J EXTRME SPRTS GD8",16096
1508500,"M/J IND/DUAL SPT GD8",38454
1508600,"M/J COMPRE GRDE 6/7",90586
1508700,"M/J COMPRE GDE 7/8",100876
1700000,"M/J RESEARCH 1",35338
1700010,"M/J RESEARCH 2",16416
1700020,"M/J RESEARCH 3",22885
1700060,"M/J CAREER RES & DEC",16916
1700100,"M/J CRIT THINK",55089
1700110,"M/J AVID 6TH",5674
1700115,"M/J AVID 6TH & C/P",253
1700120,"M/J AVID 7TH",7167
1700125,"M/J AVID 7TH & C/P",691
1700130,"M/J AVID 8TH",6718
1700135,"M/J AVID 8TH & C/P",705
1700300,"RESEARCH 1",26571
1700310,"RESEARCH 2",7573
1700320,"RESEARCH 3",8661
1700360,"FL PRE-IB INQ SKILLS",3025
1700362,"PRE-AICE GLBLPERS IG",1850
1700364,"AICE GLBL PERSP 1 AS",5593
1700365,"AICE GLBL PERSP 1 A",179
1700366,"AICE GLBL PERSP 2 PU",111
1700370,"CRIT THINK ST SKLS",19060
1700372,"AICE THINK SKLS 1 AS",4673
1700374,"AICE THINK SKLS 2 AL",670
1700380,"CAR RESA&DECI MAK",11719
1700390,"AVID 1",6663
1700400,"AVID 2",5002
1700410,"AVID 3",4040
1700420,"AVID 4",2882
1700500,"AP CAPSTONE SEMINAR",4503
1700510,"AP CAPSTONE RESEARCH",2199
1700800,"IB APPROACH TO LRNG",60
1700810,"IB APPROACH TO LRNG2",38
1700820,"IB PERS & PROF SKLS1",133
1800300,"AF AERO SCI 1",4900
1800310,"AF AERO SCI 2",3019
1800320,"AF AERO SCI 3",1983
1800330,"AF AEROSCI 4 LEADDEV",1068
1800340,"ADV AERO SCI",51
1800350,"AF AERO SCI 4 TRANSP",103
1800360,"AF AERO SCI 4",323
1800400,"LEAD ED 1",124
1800410,"LEAD ED 2",39
1801300,"AR LEAD ED/TRAIN 1",15508
1801310,"AR LEAD ED/TRAIN 2",9110
1801320,"AR LEAD ED/TRAIN 3",4987
1801330,"AR LEAD ED/TRAIN 4",2882
1802300,"NAVAL SCI 1",5131
1802310,"NAVAL SCI 2",3162
1802320,"NAVAL SCI 3",1972
1802330,"NAVAL SCI 4",1191
1803300,"MC LEAD ED 1",1746
1803310,"MC LEAD ED 2",1009
1803320,"MC LEAD ED 3",547
1803330,"MC LEAD ED 4",343
1900300,"DRIVER ED CLASS",26304
1900310,"DRIVER ED CLASS/LAB",10020
2000010,"M/J LIF SCI",35889
2000020,"M/J LIF SCI ADV",25107
2000025,"M/J STEM LIFE SCI",1060
2000030,"M/J IB MYP LIFE SCI",1577
2000300,"INTENS SCI",1
2000310,"BIO 1",115421
2000315,"BIO 1 CR",915
2000320,"BIO 1 HON",82245
2000321,"AICE BIO 1 AS",1281
2000322,"PRE-AICE BIO IG",5229
2000323,"AICE BIO 2 AL",265
2000330,"BIO 2 HON",1340
2000340,"AP BIO",12727
2000350,"ANAT PHYSIO",12288
2000360,"ANAT PHYSIO HON",35383
2000370,BOTANY,184
2000380,ECOLOGY,599
2000390,LIMNOLOGY,133
2000410,ZOOLOGY,1853
2000430,BIOTECH,97
2000440,"GENETICS HON",1454
2000500,"BIOSCIENCE 1 HON",417
2000510,"BIOSCIENCE 2 HON",159
2000520,"BIOSCIENCE 3 HON",100
2000800,"FL PRE-IB BIO 1",5757
2000805,"IB BIOLOGY 1",1983
2000810,"IB BIOLOGY 2",1799
2000820,"IB BIOLOGY 3",2345
2000850,"IB MYP BIOLOGY",1956
2001010,"M/J ERTH/SPA SCI",37484
2001020,"M/J ERTH/SPA SCI ADV",20288
2001025,"M/J STEM ASTRO/SPACE",667
2001030,"M/J IB MYP ERT/SP SC",1315
2001310,"ERTH/SPA SCI",46118
2001320,"ERTH/SPA SCI HON",14239
2001330,"METEOROLOGY HONORS",5
2001340,"ENV SCI",44553
2001341,"ENV SCI HON",581
2001342,"PRE-AICE ENV MGMT IG",391
2001350,"ASTRONOMY S/G",88
2001370,"IB ENV SYS & SOC 1",240
2001375,"IB ENV SYS & SOC 2",463
2001380,"AP ENV SCI",16017
2001381,"AICE ENV MGMNT AS",2800
2001390,"PRE-AICE COORSCI 1IG",54
2001410,"AICE FOODSTDIES 1 AL",18
2001800,"IB ASTRONOMY 1",9
2001820,"IB SPORTS EXER SCI 1",7
2001830,"IB SPORTS EXER SCI 2",137
2002040,"M/J COMPRE SCI 1",89255
2002050,"M/J COMPRE SCI 1 ADV",46496
2002055,"M/J COMPSCI1 ACC HON",2378
2002056,"M/J SCI 1 CAMB SEC 1",2903
2002060,"M/J IB MYP COMP SCI1",1568
2002070,"M/J COMPRE SCI 2",81654
2002080,"M/J COMPRE SCI 2 ADV",49179
2002085,"M/J COMPSCI2 ACC HON",3951
2002086,"M/J SCI 2 CAMB SEC 1",2738
2002090,"M/J IB MYP COMP SCI2",1691
2002100,"M/J COMPRE SCI 3",80085
2002110,"M/J COMPRE SCI 3 ADV",37760
2002115,"M/J SCI 3 CAMB SEC 1",1042
2002120,"M/J IB MYP COMP SCI3",1411
2002200,"M/J STEM ENV SCI",1217
2002330,"SPACE TECH ENG",66
2002340,"EXP SCI 1 HON",1670
2002350,"EXP SCI 2 HON",850
2002360,"EXP SCI 3 HON",600
2002370,"EXP SCI 4 HON",263
2002400,"INTEG SCI 1",6431
2002405,"INTEG SCI 1 CR",35
2002410,"INTEG SCI 1 HON",2456
2002415,"IB MYP INTEG SCI",296
2002420,"INTEG SCI 2",2170
2002425,"INTEG SCI 2 CR",2
2002430,"INTEG SCI 2 HON",328
2002440,"INTEG SCI 3",1153
2002450,"INTEG SCI 3 HON",473
2002480,"FORC SCI 1",6256
2002490,"FORC SCI 2",283
2002500,"MARINE SCI 1",30440
2002510,"MARINE SCI 1 HON",21367
2002515,"AICE MARINE SCI 1 AS",5171
2002520,"MARINE SCI 2",431
2002530,"MARINE SCI 2 HON",1278
2002535,"AICE MARINE SCI 2 AL",762
2002540,"SOLAR ENERGY HON",141
2002550,"SOLAR ENERGY 2 HON",5
2002800,"IB MARINE SCI 1",44
2003010,"M/J PHY SCI",33051
2003020,"M/J PHY SCI ADV",15611
2003030,"M/J STEM PHYSIC SCI",2076
2003310,"PHY SCI",65393
2003320,"PHY SCI HON",33156
2003335,"PRE-AICE PHYS SCI IG",479
2003340,"CHEM 1",55699
2003345,"CHEM 1 CR",338
2003350,"CHEM 1 HON",66295
2003360,"CHEM 2 HON",1137
2003370,"AP CHEM",6059
2003371,"AICE CHEM 1 AS",641
2003372,"PRE-AICE CHEM IG",3387
2003373,"AICE CHEM 2 AL",158
2003380,"PHYS 1",9009
2003385,"PHYS 1 CR",12
2003390,"PHYS 1 HON",22472
2003410,"PHYS 2 HON",213
2003421,"AP PHYSICS 1",7149
2003422,"AP PHYSICS 2",1067
2003425,"AP PHYSICS C: E&M",83
2003430,"AP PHYSICS C: ME",1204
2003431,"AICE PHYSICS 1 AS",471
2003432,"PRE-AICE PHYSICS IG",760
2003433,"AICE PHYSICS 2 AL",60
2003500,"RENEWABLE ENERGY 1 H",192
2003600,"PRINC TECH 1",237
2003610,"PRINC TECH 2",6
2003800,"FL PRE-IB CHEM 1",5387
2003805,"IB CHEMISTRY 1",693
2003810,"IB CHEMISTRY 2",905
2003820,"IB CHEMISTRY 3",656
2003830,"IB MYP CHEM",1257
2003836,"FL PRE-IB PHYSICS 1",15
2003840,"IB PHYSICS 1",338
2003845,"IB PHYSICS 2",455
2003850,"IB PHYSICS 3",256
2003855,"IB MYP PHYSICS",20
2003860,"IB DESIGN TECH 1",15
2003862,"IB DESIGN TECH 2",22
2003864,"IB DESIGN TECH 3",2
2020710,"NUC RADI HON",44
2020910,"ASTR S/G HON",3822
2100010,"M/J US HIST",43235
2100015,"M/J US HIST&CAR PLAN",100898
2100020,"M/J US HIST ADV",30278
2100025,"M/J US HIS ADV & C/P",64225
2100030,"M/J FLORIDA HIST",264
2100040,"M/J IB MYP US HIST",3865
2100045,"M/J US HIST & CIVICS",87
2100310,"US HIST",104759
2100315,"US HIST CR",537
2100320,"US HIST HON",54734
2100330,"AP U.S. HIST",31224
2100335,"AFRICAN-AMER HISTORY",273
2100336,"AFR-AMER HIST HON",235
2100340,"AFRICAN-AMER HIST",2193
2100350,"FLORIDA HIST",694
2100360,"LATIN AMER HIST",528
2100365,"AFRICAN HISTORY HON",101
2100370,"EAST & WEST HERITAGE",716
2100380,"VISIONS & PURSUITS",1378
2100400,"HIST OF VIETNAM WAR",1138
2100405,"HOLOCAUST HIST HON",357
2100460,"EAST/WEST HERI HON",244
2100470,"VISIONS/PURSUITS HON",545
2100480,"VISIONS/COUNTER HON",374
2100490,"AICE INTL HIST 1 AS",3271
2100495,"AICE INTL HIST 2 AL",77
2100500,"AICE U.S. HIST 1 AS",4836
2100505,"AICE U.S. HIST 2 AL",764
2100800,"IB HISTORY OF AMER",2741
2101300,ANTHROP,707
2101800,"IB SOCIAL ANTHROP 1",195
2101810,"IB SOCIAL ANTHROP 2",138
2101820,"IB SOCIAL ANTHROP 3",22
2102310,ECONOMICS,566
2102315,"ECONOMICS CR",8
2102320,"ECONOMICS HONORS",144
2102321,"AICE ECON 1 AS",521
2102322,"AICE ECON 2 AL",31
2102323,"PRE-AICE ECON IG",316
2102324,"AICE BUSINESS 1 AS",1376
2102325,"AICE BUSINESS 2 AL",70
2102326,"PRE-AICE BUS STUD IG",119
2102335,"ECON FIN LIT",54994
2102340,"ECON FIN LIT CR",99
2102345,"ECON FIN LIT HON",35429
2102360,"AP MICROECON",3710
2102365,"AP MICROECON INNOV",204
2102370,"AP MACROECON",9084
2102372,"PERSONAL FIN LIT",102
2102374,"PERSONAL FIN LIT HON",149
2102390,"AMER ECON EXP HON",199
2102400,"PRE-AICE TRV&TRSM IG",32
2102410,"AICE TRVL&TRSM 1 AS",1466
2102420,"AICE TRVL&TRSM 2 AL",31
2102430,"IB BUS MGMT 1",76
2102440,"IB BUS MGMT 2",99
2102450,"IB BUS MGMT 3",75
2102800,"FL PRE-IB COMP ECONS",265
2102810,"IB ECONOMICS 1",225
2102820,"IB ECONOMICS 2",157
2102830,"IB ECONOMICS 3",152
2103010,"M/J WORLD GEOG",1284
2103015,"M/J WORLD GEOG",532
2103016,"M/J WORLD GEOG & C/P",588
2103018,"M/J IB MYP WRLDGEOCP",196
2103020,"M/J WORLD GEOG ADV",425
2103025,"M/J WORLD GEOG ADV",75
2103026,"M/J WORLD GEO ADV&CA",117
2103030,"M/J GEOG: AS, OC, AF",1144
2103040,"M/J GEOG: EUR & AM",3
2103300,"WORLD CLTRL GEOG",19941
2103400,"AP HUMAN GEOG",33848
2103410,"AICE GEOG 1 AS",445
2103420,"PRE-AICE GEOG IG",159
2103430,"IB GEOGRAPHY 1",1
2103800,"IB GEOGRAPHY 3",85
2103805,"IB GEOGRAPHY 2",109
2103810,"IB MYP WRLD GEO",40
2104000,"M/J SS",2280
2104010,"M/J ENG CIT SERVLRN1",3419
2104020,"M/J ENG CIT SERVLRN2",2857
2104030,"M/J US ECON & GEOG",26
2104040,"M/J EMERGING LEADERS",450
2104300,"INTROD SOCIAL SCI",1143
2104320,"GLOBAL STUDIES",2003
2104330,"VOL SCH/COMMU SERV",626
2104340,"WOMEN'S STUDIES",304
2104350,"ENG CITIZ SERV LRNG1",833
2104360,"ENG CITIZ SERV LRNG2",1643
2104600,"MULTICLTRL STUDIES",1372
2105020,"M/J WORLD CLTRS",4288
2105025,"M/J WORLD CLTRS C/P",409
2105030,"M/J ADV WORLD CLTRS",1040
2105040,"M/J IB MYP WRLD CLTR",675
2105310,"WORLD RELIGIONS",1507
2105340,PHILOS,515
2105350,Ethics,1359
2105355,"PHILOS HON ETHICS",455
2105860,"IB PHILOSOPHY 1",251
2105870,"IB PHILOSOPHY 2",106
2105875,"IB PHILOSOPHY 3",138
2105880,"IB WORLD RELIGIONS 1",79
2105890,"IB WORLD RELIGIONS 2",23
2106010,"M/J CIVICS",87509
2106015,"M/J CIVICS",627
2106016,"M/J CIVICS & CAR PL",36870
2106020,"M/J CIVICS ADV",47193
2106025,"M/J CIVICS ADV",32
2106026,"M/J CIVICS ADV&CAR P",30816
2106027,"M/J IB MYP CIV ADV",1775
2106028,"M/J IB MYP CIVADVCP",1239
2106029,"M/J CIV & DIG TECH",8
2106030,"M/J LAW STUDIES",2832
2106310,"US GOVT",42726
2106315,"US GOVT CR",155
2106320,"US GOVT HON",22612
2106325,"CLEP AMERICAN GOVT",1
2106330,CIVICS,29
2106340,"POLI SCI",294
2106350,"LAW STUDIES",4471
2106355,"INTL LAW",257
2106360,"COMPA POLI SYSTEMS",376
2106370,"COMPRE LAW STUDIES",2295
2106375,"COMPRE LAW HON",736
2106380,"LEGAL SYSS & CONCS",1326
2106390,"COURT PROCED",2914
2106400,"COURT PROCED INTERN",126
2106420,"AP US GOVT/POL",10302
2106430,"AP COMP GOVT/POL",1529
2106440,"INTL RLS",1532
2106445,"INTL RLS 2 HON",201
2106450,"AMER POLIT SYSS",15
2106460,"AMER POLIT SYSS HON",793
2106468,"CONST LAW HON",960
2106800,"FL PRE-IB US GOVT",179
2106810,"IB WORLD POLITICS 1",8
2106820,"IB WORLD POLITICS 2",5
2106860,"IB GLOBAL POLITICS 3",18
2107300,"PSYCH 1",7617
2107310,"PSYCH 2",17162
2107350,"AP PSYCH",32581
2107360,"AICE PSYCH 1 AS",3460
2107370,"AICE PSYCH 2 AL",222
2107800,"IB PSYCHOLOGY 1",1310
2107810,"IB PSYCHOLOGY 2",840
2107820,"IB PSYCHOLOGY 3",1066
2108300,SOCIOLOGY,9866
2108310,"AICE SOCIOLOGY 1 AS",1364
2108320,"AICE SOCIOLOGY 2 AL",475
2109010,"M/J WORLD HIST",99252
2109015,"M/J WORLD HIST & CP",346
2109020,"M/J WORLD HIST ADV",54937
2109025,"M/J WRLD HIST ADV CP",156
2109030,"M/J IB MYP WRLD HIST",375
2109310,"WORLD HIST",124111
2109315,"WORLD HIST CR",1125
2109320,"WORLD HIST HON",57371
2109321,"PRE-AICE WRLD HST IG",2117
2109330,"AFRICAN HIST",202
2109350,"CONTEMP HIST",1080
2109371,"AICE EURO HIST 1 AS",2438
2109372,"AICE EURO HIST 2 AL",18
2109380,"AP EURO HIST",7264
2109410,"JEWISH HIST",148
2109420,"AP WORLD HIST",30567
2109430,HOLOCAUST,2833
2109800,"IB CONTEMP HISTORY 1",1634
2109805,"IB CONTEMP HISTORY 2",2735
2109810,"FL PRE-IB WORLD HIST",1643
2109820,"IB HISTORY OF EUROPE",105
2109830,"IB MYP WRLD HIST",911
2120710,"ANTHRO HON",499
2120910,"PHILOS HON",606
2120915,"PHILOS HON 2",72
2200300,"NC STUDY HALL 1",11415
2200310,"NC STUDY HALL 2",616
2200320,"NC STUDY HALL 3",46
2200330,"NC STUDY HALL 4",5979
2400300,"LEAD SKLS DEV",20280
2400310,"LEAD TECNQS",9268
2400320,"LEADER STRATEGIES",597
2400330,"APPROACHES TO LEADER",383
2500510,"TEMP INSTR PLACEMENT",2053
3026010,HOPE,73249
3026015,"PRE-AICE PHYS ED IG",111
3026020,"AICE PHYS ED 1 AS",116
3027010,"BIOTECH 1",862
3027020,"BIOTECH 2",514
5001010,"ART - GRADE K",137011
5001020,"ART - GRADE 1",154623
5001030,"ART - GRADE 2",186524
5001040,"ART - INTERM 1",201552
5001050,"ART - INTERM 2",184073
5001060,"ART - INTERM 3",187400
5002000,"INTRO TO COMPUTERS",315498
5003010,"DANCE - GRADE K",3767
5003020,"DANCE - GRADE 1",3937
5003030,"DANCE - GRADE 2",4225
5003040,"DANCE - INTERM 1",4678
5003050,"DANCE - INTERM 2",3934
5003060,"DANCE - INTERM 3",3971
5007000,"ELEM FRENCH",2545
5007010,"ELEM GERMAN",409
5007020,"ELEM SPANISH",204452
5007040,"ELEM ITALIAN",239
5007050,"ELEM CHINESE",2956
5007060,"ELEM GREEK",2914
5007070,"ELEM HAITIAN CREOLE",2485
5007080,"ELEM PORTUGUESE",328
5007090,"ELEM LATIN",195
5008020,"HEALTH - K",9327
5008030,"HEALTH - GRADE 1",9480
5008040,"HEALTH - GRADE 2",9627
5008050,"HEALTH - GRADE 3",10133
5008060,"HEALTH - GRADE 4",10157
5008070,"HEALTH - GRADE 5",9814
5010010,"ESOL E",54175
5010020,"FNC BAS SKLS READ E",161521
5010030,"FNC BAS SKLS COMMS E",6157
5010041,"LANG ARTS GRADE K",200848
5010042,"LANG ARTS GRADE 1",204758
5010043,"LANG ARTS GRADE 2",212184
5010044,"LANG ARTS GRADE 3",229855
5010045,"LANG ARTS GRADE 4",211766
5010046,"LANG ARTS GRADE 5",215397
5010200,"THEATRE - GRADE K",3570
5010210,"THEATRE - GRADE 1",3750
5010220,"THEATRE - GRADE 2",4097
5010230,"THEATRE-INTERM 1",4063
5010240,"THEATRE-INTERM 2",3859
5010250,"THEATRE-INTERM 3",3786
5011000,"LIB SKLS/INFO LIT K",11172
5011010,"LIB SKLS/INFO LIT 1",11655
5011020,"LIB SKLS/INFO LIT 2",11472
5011030,"LIB SKLS/INFO LIT 3",12145
5011040,"LIB SKLS/INFO LIT 4",11170
5011050,"LIB SKLS/INFO LIT 5",10598
5012020,"MATH GRADE K",201123
5012030,"MATH GRADE 1",204827
5012040,"MATH GRADE 2",212163
5012050,"MATH GRADE 3",229665
5012060,"MATH GRADE 4",211205
5012070,"MATH GRADE 5",215204
5013010,"ELEM CHORUS",13941
5013020,"ELEM BAND",5120
5013030,"ELEM ORCHESTRA",7515
5013035,"ELEM SPEC ENS",268
5013060,"MUSIC - GRADE K",146055
5013070,"MUSIC - GRADE 1",164085
5013080,"MUSIC - GRADE 2",196086
5013090,"MUSIC-INTERM 1",212555
5013100,"MUSIC-INTERM 2",194559
5013110,"MUSIC-INTERM 3",195935
5015000,"E ADAP PE IEP/504",2245
5015020,"PHYSICAL EDUCATION K",201907
5015030,"PHYSICAL EDUCATION 1",205784
5015040,"PHYSICAL EDUCATION 2",213244
5015050,"PHYSICAL EDUCATION 3",230872
5015060,"PHYSICAL EDUCATION 4",212810
5015070,"PHYSICAL EDUCATION 5",216164
5020010,"SCIENCE GRADE K",200179
5020020,"SCIENCE GRADE 1",204457
5020030,"SCIENCE GRADE 2",212156
5020040,"SCIENCE GRADE 3",229471
5020050,"SCIENCE GRADE 4",211573
5020060,"SCIENCE GRADE 5",215358
5021020,"SOC STUDIES K",193247
5021030,"SOC STUDIES 1",197880
5021040,"SOC STUDIES 2",204709
5021050,"SOC STUDIES 3",220988
5021060,"SOC STUDIES 4",203539
5021070,"SOC STUDIES 5",206752
5022000,"ELEM STUDY HALL",35346
5100520,"DIST HEAD START",12073
5100530,"DIST TITLE 1 PREK",8187
5100560,"PREK OTHER",9722
5100570,"SCHOOL READINESS",1172
5100580,"VPK-SCH YEAR PROG",25576
7650030,"PREK DISAB: 0-2",320
7650130,"PREK DISAB: 3-5",23984
7700010,"THRP INSTR SPT: PK-5",434
7701010,"ART: K-5",5178
7710011,"ACCESS LANG ART - K",2027
7710012,"ACCESS LANG ART - 1",2306
7710013,"ACCESS LANG ART - 2",2393
7710014,"ACCESS LANG ART - 3",2862
7710015,"ACCESS LANG ART - 4",2897
7710016,"ACCESS LANG ART - 5",3068
7712015,"ACCESS MATH GRADE K",1998
7712020,"ACCESS MATH GRADE 1",2270
7712030,"ACCESS MATH GRADE 2",2351
7712040,"ACCESS MATH GRADE 3",2818
7712050,"ACCESS MATH GRADE 4",2869
7712060,"ACCESS MATH GRADE 5",3017
7713010,"MUS: K-5",5436
7715010,"PE: K-5",8666
7720015,"ACCESS SCI GRADE K",1976
7720020,"ACCESS SCI GRADE 1",2245
7720030,"ACCESS SCI GRADE 2",2309
7720040,"ACCESS SCI GRADE 3",2768
7720050,"ACCESS SCI GRADE 4",2784
7720060,"ACCESS SCI GRADE 5",2959
7721011,"ACCESS SOC ST - K",1953
7721012,"ACCESS SOC ST - 1",2202
7721013,"ACCESS SOC ST - 2",2280
7721014,"ACCESS SOC ST - 3",2730
7721015,"ACCESS SOC ST - 4",2755
7721016,"ACCESS SOC ST - 5",2909
7721020,"U SKLS SOC&EMOT:PK-5",5735
7755020,"H/H ACAD U SKLS:PK-5",348
7755040,"ADV ACAD: K-5 GIFTED",22465
7763010,"U SKLS: PK-5",5514
7763020,"SPEECH AUD: PK-5",414
7763030,"SPEECH THRPY: PK-5",62863
7763040,"LANG THRPY: PK-5",82088
7763050,"OCCU THRPY: PK-5",23855
7763060,"ORIEN MOBLTY: PK-5",202
7763070,"PHY THRPY: PK-5",5077
7763080,"EXP CORE COMPET:PK-5",1087
7763090,"EXP SKLS:PK-5",977
7763100,"U SKLS IND FUNC:PK-5",385
7763110,"U SKLS CURR&LRN:PK-5",5933
